,title,vote_average,overview,noverviwe
14,Brave Revolutionary,10,Lack-lustred and alcoholic Pratap Narayan Tilak is given a rude awakening when he meets with journalist Megha Dixit. and decides to instill some sense of justice and fair play within his community. and get them to assertively defend their rights and freedom. He is met with strong resistance. both from within his very own community. the police. and some very powerful and influential politicians. Unable to bear the injustice. and frustrated at his community to act proactively. Pratap decides to take the law into his own hands. resulting in chaos. violence. and uncertainty for everyone. and a path to his own grave.,Lacklustred and alcoholic Pratap Narayan Tilak is given a rude awakening when he meets with journalist Megha Dixit and decides to instill some sense of justice and fair play within his community and get them to assertively defend their rights and freedom He is met with strong resistance both from within his very own community the police and some very powerful and influential politicians Unable to bear the injustice and frustrated at his community to act proactively Pratap decides to take the law into his own hands resulting in chaos violence and uncertainty for everyone and a path to his own grave
15,Souls of Zen: Ancestors and Agency in Contemporary Japanese Temple Buddhism,10,The Japanese populationâs reaction to the catastrophe of March 2011 has been described as âstoicâ by the Western media. The Japanese code of conduct is indeed deeply rooted in their Buddhist traditions. and young filmmakers Tim Graf and Jakob Montrasio observe in detail what this means for the people and their religion. At graveyards. in temples. at monasteries and with families. they question the impact this triple affliction has had on the lives and beliefs of the inhabitants. How deeply do their beliefs affect their grieving? What role do the monks play in assisting people with their grief? And. what effects has this enormous catastrophe had on their religious rituals? SOULS OF ZEN inserts the events of March 2011 into the context of traditional Zen Buddhism. examining Japanâs religiousness and the beliefs of those practising it at a crucial turning point.,The Japanese populationâs reaction to the catastrophe of March 2011 has been described as âstoicâ by the Western media The Japanese code of conduct is indeed deeply rooted in their Buddhist traditions and young filmmakers Tim Graf and Jakob Montrasio observe in detail what this means for the people and their religion At graveyards in temples at monasteries and with families they question the impact this triple affliction has had on the lives and beliefs of the inhabitants How deeply do their beliefs affect their grieving What role do the monks play in assisting people with their grief And what effects has this enormous catastrophe had on their religious rituals SOULS OF ZEN inserts the events of March 2011 into the context of traditional Zen Buddhism examining Japanâs religiousness and the beliefs of those practising it at a crucial turning point
16,Mad As Hell,10,"MAD AS HELL follows Cenk Uygur's transformation from unknown talk show host on local Public Access TV to an internet sensation with his online news show ""The Young Turks."" which has amassed over one billion views on YouTube. Once Cenk ventures from the internet into national television and lands the 6 PM time slot on MSNBC. his uncensored brand of journalism is compromised and Cenk becomes the nexus in the battle between new and old media.",MAD AS HELL follows Cenk Uygurs transformation from unknown talk show host on local Public Access TV to an internet sensation with his online news show The Young Turks which has amassed over one billion views on YouTube Once Cenk ventures from the internet into national television and lands the 6 PM time slot on MSNBC his uncensored brand of journalism is compromised and Cenk becomes the nexus in the battle between new and old media
17,Avetik,10,Hovering between the realms of poetry and history. this stunningly photographed. elegiac work â shot mostly in long takes â mixes cryptic metaphor and fantastic symbolism to tell the story of Avetik. an Armenian filmmaker exiled in Berlin. In sensuous. lyric styling. Askarian employs dreamlike images to reflect the history of his homeland. tranquil childhood memories. images inspired by erotic medieval poetry. and autobiographical shades of his own exile in Germany.,Hovering between the realms of poetry and history this stunningly photographed elegiac work â shot mostly in long takes â mixes cryptic metaphor and fantastic symbolism to tell the story of Avetik an Armenian filmmaker exiled in Berlin In sensuous lyric styling Askarian employs dreamlike images to reflect the history of his homeland tranquil childhood memories images inspired by erotic medieval poetry and autobiographical shades of his own exile in Germany
18,Butterfly,10,A butterfly. a creature symbolising rebirth and a new beginning. epitomises Rominaâs and GermÃ¡nâs world. a world that consists of two parallel realities. In one of them they grow up as siblings who desire each other and try to give shape to their love without sexual fulfilment; in the other they are a young man and woman who form an awkward friendship instead of succumbing to their feelings for each other. GermÃ¡n finds himself in a discordant relationship with Mariela. Marielaâs brother is interested in Bruno. Bruno is with Romina. but wants to be with GermÃ¡n. Playfully alternating between these two realities. the lovers find themselves drawn into ever new couplings in order to explore their intuitive feelings â cautiously. but at the same time prepared to lose everything.,A butterfly a creature symbolising rebirth and a new beginning epitomises Rominaâs and GermÃ¡nâs world a world that consists of two parallel realities In one of them they grow up as siblings who desire each other and try to give shape to their love without sexual fulfilment in the other they are a young man and woman who form an awkward friendship instead of succumbing to their feelings for each other GermÃ¡n finds himself in a discordant relationship with Mariela Marielaâs brother is interested in Bruno Bruno is with Romina but wants to be with GermÃ¡n Playfully alternating between these two realities the lovers find themselves drawn into ever new couplings in order to explore their intuitive feelings â cautiously but at the same time prepared to lose everything
19,Frankie Boyle: Hurt Like You've Never Been Loved,10,Netflix Special,Netflix Special
20,The Bride from Hades,10,On the night of the summer Obon festival. Hagiwara Shinzaburo meets a beautiful courtesan named Otsuyu. Not knowing she's a ghost. he becomes infatuated by her.,On the night of the summer Obon festival Hagiwara Shinzaburo meets a beautiful courtesan named Otsuyu Not knowing shes a ghost he becomes infatuated by her
21,Blessed Event,10,A New York gossip columnist (Lee Tracy) feuds with a singer (Dick Powell) and enjoys the power of the press.,A New York gossip columnist Lee Tracy feuds with a singer Dick Powell and enjoys the power of the press
22,American Sharia,10,"Fast paced. action packed comedy. Tension flares in The Motor City as Officer Richardson profiles every Muslim he sees as a terrorist. He goes on an arrest frenzy. which makes the community activists. Jihad and Osama take to the streets and rally the people to stand up for their rights. The Chief of Police wants to gain the trust of the Muslim community in order to get re-elected. but Attorney Leila Rodriguez is standing in the way with a discrimination law suit against Officer Richardson and the Motor City Police Department. The Chief calls on his most unreliable detective. Mohammed and partners him with a Middle Eastern. Sharia Law fanatic. Detective Abdul. The Chief wants them to ""Speak Muslim To The Muslims"" which he thinks will guarantee his re-election.  - Written by Omar Regan",Fast paced action packed comedy Tension flares in The Motor City as Officer Richardson profiles every Muslim he sees as a terrorist He goes on an arrest frenzy which makes the community activists Jihad and Osama take to the streets and rally the people to stand up for their rights The Chief of Police wants to gain the trust of the Muslim community in order to get reelected but Attorney Leila Rodriguez is standing in the way with a discrimination law suit against Officer Richardson and the Motor City Police Department The Chief calls on his most unreliable detective Mohammed and partners him with a Middle Eastern Sharia Law fanatic Detective Abdul The Chief wants them to Speak Muslim To The Muslims which he thinks will guarantee his reelection   Written by Omar Regan
23,Dancer. Texas Pop. 81,10,"Four guys. best friends. have grown up together in DANCER. TEXAS POP. 81. a tiny town in West Texas. Years ago. they made a solemn vow to leave town together as soon as they graduate. Now. it's that weekend and the time has come to ""put up or shut up."" The clock is ticking and as all 81 people in the town watch. comment. offer advice and place bets. these four very different boys with unique backgrounds struggle with the biggest decision of their lives... whether to stay or leave home.",Four guys best friends have grown up together in DANCER TEXAS POP 81 a tiny town in West Texas Years ago they made a solemn vow to leave town together as soon as they graduate Now its that weekend and the time has come to put up or shut up The clock is ticking and as all 81 people in the town watch comment offer advice and place bets these four very different boys with unique backgrounds struggle with the biggest decision of their lives whether to stay or leave home
